期數,期初金額,每期支付額,利息費用,本金償還,期末欠款
152,2893388,34753,4340,30413,2862975
153,2862975,34753,4294,30458,2832517
154,2832517,34753,4249,30504,2802013
155,2802013,34753,4203,30550,2771463
156,2771463,34753,4157,30595,2740868
157,2740868,34753,4111,30641,2710227
158,2710227,34753,4065,30687,2679539
159,2679539,34753,4019,30733,2648806
160,2648806,34753,3973,30779,2618027
161,2618027,34753,3927,30826,2587201
162,2587201,34753,3881,30872,2556329
163,2556329,34753,3834,30918,2525411
164,2525411,34753,3788,30965,2494447
165,2494447,34753,3742,31011,2463436
166,2463436,34753,3695,31057,2432378
167,2432378,34753,3649,31104,2401274
168,2401274,34753,3602,31151,2370123
169,2370123,34753,3555,31197,2338926
170,2338926,34753,3508,31244,2307682
171,2307682,34753,3462,31291,2276391
172,2276391,34753,3415,31338,2245053
173,2245053,34753,3368,31385,2213668
174,2213668,34753,3321,31432,2182236
175,2182236,34753,3273,31479,2150756
176,2150756,34753,3226,31526,2119230
177,2119230,34753,3179,31574,2087656
178,2087656,34753,3131,31621,2056035
179,2056035,34753,3084,31669,2024366
180,2024366,34753,3037,31716,1992650
181,1992650,34753,2989,31764,1960887
182,1960887,34753,2941,31811,1929075
183,1929075,34753,2894,31859,1897216
184,1897216,34753,2846,31907,1865309
185,1865309,34753,2798,31955,1833355
186,1833355,34753,2750,32003,1801352
187,1801352,34753,2702,32051,1769302
188,1769302,34753,2654,32099,1737203
189,1737203,34753,2606,32147,1705056
190,1705056,34753,2558,32195,1672861
191,1672861,34753,2509,32243,1640618
192,1640618,34753,2461,32292,1608326
193,1608326,34753,2412,32340,1575986
194,1575986,34753,2364,32389,1543597
195,1543597,34753,2315,32437,1511160
196,1511160,34753,2267,32486,1478674
197,1478674,34753,2218,32535,1446140
198,1446140,34753,2169,32583,1413556
199,1413556,34753,2120,32632,1380924
200,1380924,34753,2071,32681,1348243
201,1348243,34753,2022,32730,1315512
202,1315512,34753,1973,32779,1282733
203,1282733,34753,1924,32829,1249904
204,1249904,34753,1875,32878,1217027
205,1217027,34753,1826,32927,1184100
206,1184100,34753,1776,32976,1151123
207,1151123,34753,1727,33026,1118097
208,1118097,34753,1677,33075,1085022
209,1085022,34753,1628,33125,1051897
210,1051897,34753,1578,33175,1018722
211,1018722,34753,1528,33225,985497
212,985497,34753,1478,33274,952223
213,952223,34753,1428,33324,918899
214,918899,34753,1378,33374,885524
215,885524,34753,1328,33424,852100
216,852100,34753,1278,33474,818626
217,818626,34753,1228,33525,785101
218,785101,34753,1178,33575,751526
219,751526,34753,1127,33625,717901
220,717901,34753,1077,33676,684225
221,684225,34753,1026,33726,650498
222,650498,34753,976,33777,616722
223,616722,34753,925,33828,582894
224,582894,34753,874,33878,549016
225,549016,34753,824,33929,515087
226,515087,34753,773,33980,481107
227,481107,34753,722,34031,447076
228,447076,34753,671,34082,412994
229,412994,34753,619,34133,378861
230,378861,34753,568,34184,344676
231,344676,34753,517,34236,310441
232,310441,34753,466,34287,276154
233,276154,34753,414,34338,241815
234,241815,34753,363,34390,207425
235,207425,34753,311,34441,172984
236,172984,34753,259,34493,138491
237,138491,34753,208,34545,103946
238,103946,34753,156,34597,69349
239,69349,34753,104,34649,34701
240,34701,34753,52,34701,
總計,,8340630,1340630,7000000,0
